Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66045ce4586e74d6047420fa,655b8fda57fe5f855445c3d1,APPROVED,Not Applicable,2024-03-27T17:52:43.036000Z,2024-03-27T17:56:44.898000Z,2024-03-28T16:05:49.498000Z,2024-03-27T17:59:10.238914Z,242,C1NU7187,372,English,46,Female,White,United States,United States,United States,English,No,Full-Time
66045ce567c95d9ddc2a89fe,64ea292478e6214a440badae,APPROVED,Not Applicable,2024-03-27T17:52:47.001000Z,2024-03-27T18:07:08.593000Z,2024-03-28T18:09:53.018000Z,2024-03-27T18:07:09.650969Z,862,C1NU7187,534,English,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045ce9a79a06be235b78f0,658c96136f7deec86ba418e3,APPROVED,Not Applicable,2024-03-27T17:52:58.800000Z,2024-03-27T17:59:39.914000Z,2024-03-28T18:09:53.412000Z,2024-03-27T17:59:59.407492Z,402,C1NU7187,500,English,61,Female,White,United States,United States,United States,English,No,Part-Time
66045cec78ea152457723118,65e3e34d61e4d73baa56157a,APPROVED,Not Applicable,2024-03-27T17:52:55.431000Z,2024-03-27T17:58:39.806000Z,2024-03-28T16:06:35.392000Z,2024-03-27T17:59:50.888346Z,345,C1NU7187,98,English,58,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
66045cf46fd3a7411dc12d08,5f68c976410f260322dc1747,APPROVED,Not Applicable,2024-03-27T17:53:16.191000Z,2024-03-27T17:59:57.805000Z,2024-03-28T16:04:43.978000Z,2024-03-27T18:00:03.271177Z,402,C1NU7187,4435,English,31,Male,White,United States,United States,United States,English,No,Full-Time
66045cfb17a1f147a8302008,5ef035131f1b2a546b44c391,APPROVED,Not Applicable,2024-03-27T17:52:59.828000Z,2024-03-27T18:05:09.233000Z,2024-03-28T16:07:02.011000Z,2024-03-27T18:05:10.565033Z,730,C1NU7187,5349,English,72,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045cff01bfa36a5a73e627,628db649ec2ce46bc626570f,APPROVED,Not Applicable,2024-03-27T17:53:49.263000Z,2024-03-27T17:59:22.968000Z,2024-03-28T16:04:44.359000Z,2024-03-27T17:59:56.669547Z,334,C1NU7187,1411,English,30,Male,White,United States,United States,United States,English,No,Full-Time
66045cffb204420d17ca4b97,5e04446a783225ee6e9ed929,APPROVED,Not Applicable,2024-03-27T17:53:10.561000Z,2024-03-27T17:58:53.716000Z,2024-03-28T17:15:42.561000Z,2024-03-27T17:59:52.505613Z,344,C1NU7187,2960,English,45,Male,White,United States,United States,United States,English,No,Full-Time
66045cffc04451f63b665956,5806ceacf0740c00017892c8,APPROVED,Not Applicable,2024-03-27T17:53:10.543000Z,2024-03-27T18:07:23.685000Z,2024-03-28T16:07:11.116000Z,2024-03-27T18:07:25.436399Z,854,C1NU7187,5797,English,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045d09560749920e9255e7,65845598dea4092b25eb3718,APPROVED,Not Applicable,2024-03-27T17:53:24.341000Z,2024-03-27T18:00:39.626000Z,2024-03-28T16:06:35.719000Z,2024-03-27T18:00:41.876119Z,436,C1NU7187,266,English,63,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66045d0966ce6c30d38a42ce,5ce2f6723f8060000109feab,APPROVED,Not Applicable,2024-03-27T17:53:21.215000Z,2024-03-27T18:03:23.689000Z,2024-03-28T16:05:49.810000Z,2024-03-27T18:03:26.266141Z,603,C1NU7187,4343,English,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045d0a485b7a6845e0068b,5796beee454e5400015f4205,APPROVED,Not Applicable,2024-03-27T17:56:22.047000Z,2024-03-27T18:05:12.709000Z,2024-03-28T18:09:53.876000Z,2024-03-27T18:05:14.485699Z,531,C1NU7187,1738,English,57,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66045d0cd5738f44cfec79a5,5fb13091b87dfd5888f73e05,APPROVED,Not Applicable,2024-03-27T17:53:27.587000Z,2024-03-27T17:59:23.476000Z,2024-03-28T18:09:54.329000Z,2024-03-27T17:59:56.533849Z,356,C1NU7187,1722,English,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045d12df54c2b7753849cb,63647038cdac73d9a21f4a3c,APPROVED,Not Applicable,2024-03-27T17:53:48.165000Z,2024-03-27T18:00:12.316000Z,2024-03-28T18:09:54.705000Z,2024-03-27T18:00:14.480529Z,385,C1NU7187,1206,English,59,Female,White,United States,United States,United States,English,No,Part-Time
66045d145cdd2f6694755fb1,65fad1592ce942f0b92389e4,APPROVED,Not Applicable,2024-03-27T17:53:28.538000Z,2024-03-27T18:04:48.814000Z,2024-03-28T16:04:44.753000Z,2024-03-27T18:04:50.453470Z,681,C1NU7187,33,"English, Spanish",26,Male,White,Cuba,United States,United States,English,Yes,Full-Time
66045d1504f9adfd87302028,5eb9a6b1474e650d066972c5,APPROVED,Not Applicable,2024-03-27T17:53:31.640000Z,2024-03-27T18:01:49.423000Z,2024-03-28T18:09:55.208000Z,2024-03-27T18:01:51.485643Z,498,C1NU7187,828,English,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045d2a09fbb0fb366651a1,5c4bc384b4f50700015dd0a3,APPROVED,Not Applicable,2024-03-27T17:53:53.135000Z,2024-03-27T18:01:45.940000Z,2024-03-28T16:03:55.708000Z,2024-03-27T19:04:35.598809Z,473,C1NU7187,522,"English, Korean",23,Female,Asian,Korea,United States,United States,Korean,No,Unemployed (and job seeking)
66045d335bbe3baa1727069a,5e7227c4e9253c1509f76f96,APPROVED,Not Applicable,2024-03-27T17:54:06.565000Z,2024-03-27T17:58:36.713000Z,2024-03-28T16:06:36.090000Z,2024-03-27T17:59:50.390672Z,271,C1NU7187,4869,English,57,Male,White,Japan,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045d39bc1fa888c03b3242,60b9af795939f976cb74232a,APPROVED,Not Applicable,2024-03-27T17:54:17.555000Z,2024-03-27T18:06:02.394000Z,2024-03-28T17:15:43.131000Z,2024-03-27T18:06:04.369453Z,705,C1NU7187,5377,"English, Spanish",47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045d3ac62efe106302b477,64513f2b36481c0fc7c63df0,APPROVED,Not Applicable,2024-03-27T17:54:10.597000Z,2024-03-27T18:03:47.240000Z,2024-03-28T16:07:11.491000Z,2024-03-27T18:03:49.198796Z,577,C1NU7187,1025,English,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045d6ef7a6bab4f646d095,5ebca40606c6fe000da5f510,APPROVED,Not Applicable,2024-03-27T17:55:00.317000Z,2024-03-27T18:03:17.300000Z,2024-03-28T16:04:45.165000Z,2024-03-27T18:03:18.345367Z,497,C1NU7187,2530,English,25,Male,White,United States,United States,United States,English,No,Full-Time
66045d7f44b55fea539bf09c,60bfa70dc02807c74e0277c7,APPROVED,Not Applicable,2024-03-27T17:55:21.406000Z,2024-03-27T18:01:26.693000Z,2024-03-28T16:05:50.124000Z,2024-03-27T18:01:27.989954Z,366,C1NU7187,2055,English,46,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045d860d6914256e355e25,65428e70d20d774330259f10,APPROVED,Not Applicable,2024-03-27T17:56:24.083000Z,2024-03-27T18:16:38.387000Z,2024-03-28T17:14:12.556000Z,2024-03-27T18:16:40.210577Z,1215,C1NU7187,259,English,59,Male,Black,United States,United States,United States,English,Yes,Full-Time
